,,,ID,,,,,,,,,,,lon,lat,,,,
11,I,1,11601560,1,1355,2,18/10/2021,1,1,18/10/2021,18/10/2021,18/10/2021,,422548.99,542780.32,422483.63,542782.69,10,1
11,I,2,11601562,2,1355,2,18/10/2021,1,1,18/10/2021,18/10/2021,18/10/2021,,422103.32,545687.87,422176,545794,10,3
11,I,3,42812084,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419961.04,537390.98,420139.78,537068.41,10,3
11,I,4,42812085,1,1355,2,21/04/2008,1,1,21/04/2008,03/10/2018,10/07/2014,,418289.63,535352.06,418381.34,535349.78,10,2
11,I,5,42812086,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,418381,535306,418377,535342,10,1
11,I,6,42812087,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,418296.96,535254.42,418232,535236,10,1
11,I,7,42812088,1,1355,4,16/05/2012,1,1,21/04/2008,30/09/2009,16/05/2012,16/05/2012,419806.83,534928.61,419779.06,535307.6,10,0
11,I,8,42812089,2,1355,4,23/11/2009,1,1,21/04/2008,23/11/2009,23/11/2009,23/11/2009,420068,535117,420160,535075,10,0
11,I,9,42812090,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,420137,535287,420179.55,535215.24,10,3
11,I,10,42812091,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419611.41,535203.49,419530,535214,10,1
11,I,11,42812092,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419624.59,535230.15,419611.41,535203.49,10,1
11,I,12,42812093,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420266.42,535538.66,420220.09,535635.23,10,1
11,I,13,42812094,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,420294.92,535920.94,420299.93,535774.31,10,5
11,I,14,42812096,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419499.86,535226.21,419541.73,535321.34,10,1
11,I,15,42812097,1,1355,2,21/04/2008,1,1,21/04/2008,19/06/2020,10/07/2014,,419719,534925,420027.12,535029.8,10,6
11,I,16,42812098,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419827.09,535189.23,419719,534925,10,3
11,I,17,42812099,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419806.83,534928.61,419619.95,534379.34,10,6
11,I,18,42812100,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419380.94,535278.55,419423.27,535286.42,10,2
11,I,19,42812101,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419432.42,535312.7,419352.3,535354.09,10,2
11,I,20,42812102,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420249.89,534996.21,420027.12,535029.8,10,6
11,I,21,42812103,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420172.48,535037.26,420160.16,535015.32,10,1
11,I,22,42812104,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419546.82,535335.72,419552,535572,10,1
11,I,23,42812105,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419368.11,535255,419398.29,535239.1,10,1
11,I,24,42812106,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419393.25,535301.71,419342.61,535209.11,10,4
11,I,25,42812107,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420160.03,535114.12,420225.17,535145.36,10,1
11,I,26,42812108,1,1355,2,21/04/2008,1,1,21/04/2008,23/12/2015,10/07/2014,,420263,535085,420250.51,535160.21,10,2
11,I,27,42812109,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420179.55,535215.24,420225.17,535145.36,10,2
11,I,28,42812114,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419793.75,535171.76,419550.3,535269.01,10,2
11,I,29,42812111,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420072.77,534948.54,420076.16,535024.42,10,3
11,I,30,42812112,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419531.04,535343.89,419827.09,535189.23,10,9
11,I,31,42812113,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419850,535240,419637.57,535255.11,10,2
11,I,32,42812115,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420034,534977,420067,534954,10,1
11,I,33,42812116,1,1355,2,21/04/2008,1,1,21/04/2008,21/03/2018,10/07/2014,,419656.77,535277.36,419687.54,535385.71,10,3
11,I,34,42812117,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419531.04,535343.89,419494.66,535260.77,10,1
11,I,35,42812118,1,1355,2,21/04/2008,1,1,21/04/2008,05/09/2018,10/07/2014,,420053.53,535159,420156,535301,10,2
11,I,36,42812119,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,420299.93,535774.31,420192.51,536110.8,10,5
11,I,37,42812120,2,1355,2,21/04/2008,1,1,21/04/2008,13/07/2015,10/07/2014,,420334,535851,420294,535922.6,10,1
11,I,38,42812121,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,420407.22,536310.36,420305.81,536205.43,10,1
