10,DURHAM,1355,28/04/2023,1,28/04/2023,155604,8.1,F,,,,,,,,,,,
11,I,1,11601560,1,1355,2,18/10/2021,1,1,18/10/2021,18/10/2021,18/10/2021,,422548.99,542780.32,422483.63,542782.69,10,1
11,I,2,11601562,2,1355,2,18/10/2021,1,1,18/10/2021,18/10/2021,18/10/2021,,422103.32,545687.87,422176,545794,10,3
11,I,3,42812084,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419961.04,537390.98,420139.78,537068.41,10,3
11,I,4,42812085,1,1355,2,21/04/2008,1,1,21/04/2008,03/10/2018,10/07/2014,,418289.63,535352.06,418381.34,535349.78,10,2
11,I,5,42812086,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,418381,535306,418377,535342,10,1
11,I,6,42812087,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,418296.96,535254.42,418232,535236,10,1
11,I,7,42812088,1,1355,4,16/05/2012,1,1,21/04/2008,30/09/2009,16/05/2012,16/05/2012,419806.83,534928.61,419779.06,535307.6,10,0
11,I,8,42812089,2,1355,4,23/11/2009,1,1,21/04/2008,23/11/2009,23/11/2009,23/11/2009,420068,535117,420160,535075,10,0
11,I,9,42812090,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,420137,535287,420179.55,535215.24,10,3
11,I,10,42812091,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419611.41,535203.49,419530,535214,10,1
11,I,11,42812092,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419624.59,535230.15,419611.41,535203.49,10,1
11,I,12,42812093,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,420266.42,535538.66,420220.09,535635.23,10,1
11,I,13,42812094,1,1355,2,21/04/2008,1,1,21/04/2008,24/07/2017,10/07/2014,,420294.92,535920.94,420299.93,535774.31,10,5
11,I,14,42812096,2,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419499.86,535226.21,419541.73,535321.34,10,1
11,I,15,42812097,1,1355,2,21/04/2008,1,1,21/04/2008,19/06/2020,10/07/2014,,419719,534925,420027.12,535029.8,10,6
11,I,16,42812098,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419827.09,535189.23,419719,534925,10,3
11,I,17,42812099,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419806.83,534928.61,419619.95,534379.34,10,6
11,I,18,42812100,1,1355,2,21/04/2008,1,1,21/04/2008,07/07/2015,10/07/2014,,419380.94,535278.55,419423.27,535286.42,10,2
12,I,39722,11900929,1,4.37815E+12,1,,,,,,,,,,,,,
12,I,39723,33909771,1,4.28572E+12,1,,,,,,,,,,,,,
12,I,39724,33909780,1,4.2854E+12,1,,,,,,,,,,,,,
12,I,39725,33910434,1,4.28545E+12,1,,,,,,,,,,,,,
12,I,39726,7015110,1,4.2766E+12,1,,,,,,,,,,,,,
12,I,39727,7015110,1,4.27687E+12,1,,,,,,,,,,,,,
12,I,39728,11601080,1,4.12126E+12,1,,,,,,,,,,,,,
12,I,39729,11601080,1,4.12158E+12,1,,,,,,,,,,,,,
12,I,39730,11601080,1,4.12174E+12,1,,,,,,,,,,,,,
12,I,39731,11601560,1,4.22516E+12,1,,,,,,,,,,,,,
12,I,39732,11601562,1,4.22133E+12,1,,,,,,,,,,,,,
12,I,39733,11601562,1,4.22174E+12,1,,,,,,,,,,,,,
12,I,39734,11601562,1,4.22176E+12,1,,,,,,,,,,,,,
12,I,39735,11607577,1,4.36635E+12,1,,,,,,,,,,,,,
12,I,39736,81254112,1,4.36635E+12,1,,,,,,,,,,,,,
12,I,39737,11606208,1,3.81706E+12,1,,,,,,,,,,,,,
12,I,39738,81252715,1,3.81737E+12,1,,,,,,,,,,,,,
12,I,39739,11606213,1,3.81737E+12,1,,,,,,,,,,,,,
12,I,39740,81252716,1,3.81753E+12,1,,,,,,,,,,,,,
12,I,39741,11606214,1,3.81753E+12,1,,,,,,,,,,,,,
12,I,39742,81252765,1,3.81778E+12,1,,,,,,,,,,,,,
12,I,39743,11606209,1,3.81778E+12,1,,,,,,,,,,,,,
14,I,449751,4.22514E+12,1,3,422541,526645,,,,,,,,,,,,
14,I,449752,4.22515E+12,1,1,422486.91,526192.41,,,,,,,,,,,,
14,I,449753,4.22515E+12,1,2,422543.99,526202,,,,,,,,,,,,
14,I,449754,4.22516E+12,1,1,422501.78,528455.03,,,,,,,,,,,,
14,I,449755,4.22516E+12,1,2,422511.71,528450.54,,,,,,,,,,,,
14,I,449756,4.22516E+12,1,3,422529.25,528442.53,,,,,,,,,,,,
14,I,449757,4.22517E+12,1,1,422533.13,533948.88,,,,,,,,,,,,
14,I,449758,4.22517E+12,1,2,422518.79,533961.98,,,,,,,,,,,,
14,I,449759,4.22517E+12,1,3,422513.12,533967.81,,,,,,,,,,,,
14,I,449760,4.22517E+12,1,4,422504.9,533976.96,,,,,,,,,,,,
14,I,449761,4.22517E+12,1,5,422502.26,533978.98,,,,,,,,,,,,
14,I,449762,4.22517E+12,1,1,422537.45,553536.36,,,,,,,,,,,,
14,I,449763,4.22517E+12,1,2,422505.67,553544.25,,,,,,,,,,,,
14,I,449764,4.22517E+12,1,3,422497.46,553546.88,,,,,,,,,,,,
